Baron Pierced Earrings,5074350,$99.99,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5074350
Believe Rhodium-Plated Pendant,5007830,$54.38,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5007830
Stardust Grey Bracelet,5102550,$43.18,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5102550
Stardust Pink Double Bracelet,5102556,$56.64,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5102556
Rayban Folding Wayfare Black Plastic 50mm Men's Sunglasses,RB4105 601/58 50-22,$109.00,Out of Stock,"",Cyber Monday Sale,RB4105-601/58-50
Stardust Bracelet - Medium,5089839,$42.50,In Stock.,$5.99 Shipped,Cyber Monday Sale,5089839
Edith Bangle,1808935,$99.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,1808935
Tennis Bracelet 1791305,1791305,$85.88,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",1791305
Emily Bracelet 1808960,1808960,$69.06,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",1808960
Angelic Gold-Plated Pierced Earrings,1081941,$53.93,In Stock.,$5.99 Shipped,Cyber Monday Sale,1081941
Angelic Pierced Earrings,1081942,$56.12,In Stock.,$5.99 Shipped,Cyber Monday Sale,1081942
Brilliant Crystal Rhodium Solitaire Necklace and Earrings Set,1807339,$85.88,In Stock.,$5.99 Shipped,Cyber Monday Sale,1807339
Stardust Black Double Bracelet,5102553,$56.64,Ships In 2 - 3 Weeks.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5102553
Angelic Pierced Earrings,5112163,$56.12,In Stock.,$5.99 Shipped,Cyber Monday Sale,5112163
Angelic All-Around Necklace,5117703,$166.12,In Stock.,Free Shipping,Cyber Monday Sale,5117703
Cadmia Pendant,5117701,$83.13,In Stock.,$5.99 Shipped,Cyber Monday Sale,5117701
Circle Heart Pendant,5113776,$62.59,In Stock.,$5.99 Shipped,Cyber Monday Sale,5113776
Circle Heart Pendant - Rose Gold,5127999,$66.75,In Stock.,$5.99 Shipped,"",5127999
Crocus Short Pendant,5118732,$69.06,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5118732
Creativity Silver-Tone Ring - Size 8,5139654,$85.88,In Stock.,$5.99 Shipped,Cyber Monday Sale,5139654
Creativity Rose Gold-Tone Ring - Size 8,5139656,$85.88,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5139656
Silver-Tone Attract Set,5113468,$85.88,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5113468
Slake Light Green Deluxe Bracelet,5120581,$49.65,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5120581
Slake White Opal Deluxe Bracelet,5120520,$52.44,In Stock.,$5.99 Shipped,Cyber Monday Sale,5120520
Slake Fuchsia Deluxe Bracelet,5124127,$51.75,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5124127
Cupid Rose Pendant,5118813,$85.88,In Stock.,$5.99 Shipped,Cyber Monday Sale,5118813
Stardust Pink Double Bracelet,5120152,$56.12,In Stock.,$5.99 Shipped,Cyber Monday Sale,5120152
Christie Necklace,5118942,$60.63,In Stock.,$5.99 Shipped,Cyber Monday Sale,5118942
Crocus Heart Pendant,5128098,$60.63,In Stock.,$5.99 Shipped,Cyber Monday Sale,5128098
Stardust Light Blue Double Bracelet,5139746,$56.12,Ships In 2 - 3 Weeks.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5139746
Slake Black 2 in 1 Bracelet,5142963,$52.44,In Stock.,$5.99 Shipped,Cyber Monday Sale,5142963
Slake Black Deluxe Bracelet,5141350,$49.65,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5141350
Stardust Gradient Bracelet,5151888,$45.56,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5151888
Attract Light Pierced Earrings,5142721,$69.99,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5142721
Swan Mini Pierced Earrings,5144289,$60.00,In Stock.,$5.99 Shipped,"",5144289
Attract Blue Light Dual Set,5166045,$98.13,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5166045
Duo Star Set,5140839,$119.20,In Stock.,Free Shipping,"",5140839
Delta Medium Necklace,5140123,$89.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,5140123
Duo Heart Small Pendant,5139473,$66.75,In Stock.,$5.99 Shipped,"",5139473
Attract Dual Light Necklace,5142719,$74.25,In Stock.,$5.99 Shipped,"",5142719
Duo Heart Medium Pendant,5169393,$93.75,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5169393
Duo Evil Eye Pendant,5172560,$74.25,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5172560
Deluxe Black Bracelet,5021032,$52.44,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5021032
Slake Deluxe Gray Bracelet,5021033,$52.44,In Stock.,$5.99 Shipped,Cyber Monday Sale,5021033
Slake Crystal Gray Bracelet,5181989,$52.44,In Stock.,$5.99 Shipped,"",5181989
Duo Heart Bangle,5169396,$74.99,In Stock.,$5.99 Shipped,"",5169396
Crystal Pave Gold-Tone Small Hoop Earrings,MKJ4400710,$51.99,Out of Stock,"",Cyber Monday Sale,MKJ4400710
Crystal Pave Silver-Tone Small Hoop Earrings,MKJ4401040,$52.99,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",MKJ4401040
Crystal Silver-tone Medium Stud Earrings,MKJ1093040,$38.99,Out of Stock,"",Cyber Monday Sale,MKJ1093040
Gold-tone Open Hoop Womens Earrings,MKJ3654710,$62.99,Out of Stock,"",Cyber Monday Sale,MKJ3654710
Slake Black Bracelet,1179237,$49.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,1179237
Slake Denim Blue Rock Bracelet,5120235,$51.75,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5120235
Stardust Light Blue Double Bracelet,5120149,$56.12,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5120149
Gold-plated Circle Pendant 1081977,1081977,$62.59,In Stock.,$5.99 Shipped,Cyber Monday Sale,1081977
Stardust Beige Double Bracelet 5102549,5102549,$56.12,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",5102549
Meisterstuck Solitaire Blue Hour Legrand Rollerball,112890,$775.00,In Stock.,Free Shipping,Cyber Monday Sale  Exp. 11/29,12890
Montblanc Ballpoint Pen Starwalker Mystery Laser-engraved Black Lacquer,104227,$289.53,In Stock.,Free Shipping,Cyber Monday Sale,104227
MontBlanc Starwalker Black Mystery Fineliner Rollerball Pen,104226,$348.27,In Stock.,Free Shipping,Cyber Monday Sale  Exp. 11/29,104226
Midnight Black Resin Fineliner,105656,$215.00,In Stock.,Free Shipping,Cyber Monday Sale  Exp. 11/29,105656
Slake Beige Dot Bracelet,5201121,$51.75,In Stock.,$5.99 Shipped,"",5201121
Slake Dark Blue Dot Bracelet,5201118,$51.75,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5201118
Slake Gray Dot Bracelet,5201119,$51.75,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5201119
Attract Heart Hoop Pierced Earrings,5188403,$63.20,In Stock.,$5.99 Shipped,"",5188403
Annual Edition 2016 Christmas Ornament,5180210,$64.99,In Stock.,$5.99 Shipped,"",5180210
Cupid Bangle,5195170,$119.20,In Stock.,Free Shipping,"",5195170
Swarvoski Slake Dark Blue Alcantara Bracelet,5194200,$54.99,In Stock.,$5.99 Shipped,"",5194200
Slake Aqua Dot Bracelet,5201117,$51.75,In Stock.,$5.99 Shipped,"",5201117
Slake Purple Dot Bracelet,5201123,$51.75,In Stock.,$5.99 Shipped,"",5201123
Slake Black Dot Bracelet,5201120,$51.75,Ships In 2 - 3 Weeks.,$5.99 Shipped,"",5201120
Slake Mauve Dot Bracelet,5201122,$54.99,In Stock.,$5.99 Shipped,"",5201122
Even Bracelet,5190063,$93.75,In Stock.,$5.99 Shipped,"",5190063
Slake Dot Pierced Earring Jackets,5201102,$52.44,In Stock.,$5.99 Shipped,Cyber Monday Sale,5201102
Slake Dot Pierced Earring Jackets,5201104,$52.44,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5201104
Harley Pierced Earrings Set,5181485,$47.20,In Stock.,$5.99 Shipped,"",5181485
Exist Hoop Earrings,5182322,$89.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,5182322
Cupid Small Necklace,5198939,$69.99,In Stock.,$5.99 Shipped,"",5198939
Duo Infinity Pendant,5182086,$66.19,In Stock.,$5.99 Shipped,Cyber Monday Sale,5182086
Duo Sunflower Pendant,5213245,$69.99,In Stock.,$5.99 Shipped,"",5213245
Eden Ladies Necklace,5182028,$109.99,In Stock.,Free Shipping,"",5182028
Even Pendant,5181453,$74.25,In Stock.,$5.99 Shipped,"",5181453
Attract Light Ladies Necklace,5181007,$74.99,In Stock.,$5.99 Shipped,"",5181007
Attract Heart Set Ladies,5218461,$95.00,In Stock.,$5.99 Shipped,"",5218461
Cupid Set,5198937,$100.00,In Stock.,$5.99 Shipped,"",5198937
Dear Small Set,5156820,$109.99,In Stock.,Free Shipping,"",5156820
Harley Earlobe Earrings,5193623,$52.44,In Stock.,$5.99 Shipped,Cyber Monday Sale,5193623
Alpha Medium Necklace,5197483,$94.99,In Stock.,$5.99 Shipped,"",5197483
Alpha Medium Necklace,5210287,$94.99,In Stock.,$5.99 Shipped,"",5210287
Creativity Circle Pendant,5198686,$59.31,In Stock.,$5.99 Shipped,Cyber Monday Sale,5198686
Edify Medium Rose Gold-Tone Necklace,5197179,$99.99,In Stock.,$5.99 Shipped,"",5197179
Small Exist Pendant,5188401,$66.19,In Stock.,$5.99 Shipped,Cyber Monday Sale,5188401
Stardust Grey Double Bracelet,5089840,$58.99,Ships In 2 - 3 Weeks.,$5.99 Shipped,Cyber Monday Sale,5089840
Explore Pendant,5181465,$93.75,In Stock.,$5.99 Shipped,"",5181465
Explore Heart Pendant,5181467,$89.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,5181467
Small Exist Pendant,5190024,$66.19,In Stock.,$5.99 Shipped,Cyber Monday Sale,5190024
Explore Heart Pendant,5190269,$89.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,5190269
Bella Clear Crystal Pierced Earrings,883551,$59.00,In Stock.,$5.99 Shipped,Cyber Monday Sale,883551
Bella Golden Shadow Pierced Earrings 901640,901640,$56.99,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",901640
Palace Pierced Earrings 1106512,1106512,$56.12,In Stock.,$5.99 Shipped,"FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",1106512
Somerset Medium Hoop Pierced Earrings,1172369,$60.63,In Stock.,$5.99 Shipped,Cyber Monday Sale,1172369
Summerset Hoop Pierced Earrings,1172374,$35.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,1172374
Circle Pierced Earrings,5007750,$53.53,In Stock.,$5.99 Shipped,Cyber Monday Sale,5007750
Rhodium Pave Circle Pendant,681251,$62.59,In Stock.,$5.99 Shipped,Cyber Monday Sale,681251
Pave Small Cross Pendant,956722,$53.53,In Stock.,$5.99 Shipped,Cyber Monday Sale,956722
Lavender Pendant,1039065,$69.06,In Stock.,$5.99 Shipped,Cyber Monday Sale,1039065
Mozart Heart Pendant Necklace,1071200,$56.12,In Stock.,$5.99 Shipped,Cyber Monday Sale,1071200
Angelic Pendant,1081938,$69.06,In Stock.,$5.99 Shipped,Cyber Monday Sale,1081938
Solitaire Pendant Necklace,1800045,$62.59,In Stock.,$5.99 Shipped,Cyber Monday Sale,1800045
Exact Pendant,5194452,$74.25,In Stock.,$5.99 Shipped,"",5194452
Every Pendant,5195164,$94.99,In Stock.,$5.99 Shipped,"",5195164
Cedar Street Maise Leather Shoulder Bag - Black,PXRU5490-001,$244.00,In Stock.,Free Shipping,Cyber Monday Sale,PxRU5490001
Crystal Bangle,5250023,$71.20,In Stock.,$5.99 Shipped,"",5250023
Iconic Swan Pierced Earrings,5193949,$79.20,Out of Stock,"","",5193949
Funk Necklace and Earring Set,5253052,$94.99,In Stock.,$5.99 Shipped,"",5253052
Funk Necklace,5241271,$54.99,In Stock.,$5.99 Shipped,"",5241271
Ray-Ban Wayfarer Black Frame Folding Sunglasses,RB4105 601/58 54-22,$113.16,Out of Stock,"",Cyber Monday Sale,RB4105-601/58-54
Crystaldust Golden Crystal Bangle,5237763,$71.20,In Stock.,$5.99 Shipped,"",5237763
Ray-Ban Original Wayfarer Denim Green Mirror Sunglasses,RB2140 11912X 50,$126.15,In Stock.,Free Shipping,"",RB2140-11912X-50
Clubmaster Classic Polarized Green Classic G-15 Sunglasses,RB3016 901/58 49,$109.99,Out of Stock,"",Cyber Monday Sale,RB3016-901/58-49
Aviator Polarized Lilac Flash Sunglasses,RB3025 167/1R 58,$109.99,Out of Stock,"",Cyber Monday Sale,RB3025-167/1R-58
Aviator Classic Polarized Green Classic G-15 Sunglasses,RB3025 004/58 62,$109.00,Out of Stock,"",Cyber Monday Sale,RB3025-004-58-62
Dynamic Pendant,5266940,$93.75,In Stock.,$5.99 Shipped,"",5266940
